stationNumber;platform;trackNumber;trackName;length;height
2221;B02;2;Gleis 2;120;55
4747;B01;1;Gleis 1;120;55
5931;B01;1;Gleis 1;120;55
5931;B02;2;Gleis 2;120;55
7957;B01;1;Gleis 1;120;55
1572;B01;1;Gleis 1;242;38
1572;B02;2;Gleis 2;175;38
1572;B02;3;Gleis 3;175;38
1614;B01;1;Gleis 1;120;55
1617;B01;1;Gleis 1;120;55
1617;B01;2;Gleis 2;120;55
1618;B01;1;Gleis 1;169;55
1619;B01;1;Gleis 1;203;38
1619;B02;2;Gleis 2;270;38
2042;B01;1;Gleis 1;167;38
2042;B02;2;Gleis 2;165;55
2097;B01;1;Gleis 1;194;38
2097;B02;2;Gleis 2;299;38
2097;B02;3;Gleis 3;299;38
2299;B01;1;Gleis 1;270;38
2299;B02;2;Gleis 2;267;38
2299;B02;4;Gleis 4;267;38
2300;B01;1;Gleis 1;143;26
2300;B02;2;Gleis 2;200;76
2300;B02;3;Gleis 3;200;76
2300;B03;4;Gleis 4;200;76
2300;B03;5;Gleis 5;195;76
1278;B01;1;Gleis 1;210;76
1278;B02;2;Gleis 2;210;76
2316;B01;1;Gleis 1;261;38
2316;B02;2;Gleis 2;248;38
2316;B02;3;Gleis 3;248;38
2320;B01;1;Gleis 1;120;55
2320;B02;2;Gleis 2;120;55
3237;B01;1;Gleis 1;120;55
6734;B01;1;Gleis 1;120;55
6734;B02;2;Gleis 2;125;55
6734;B02;3;Gleis 3;125;55
6734;B03;3a;Gleis 3a;125;55
6734;B03;4;Gleis 4;125;55
2471;B01;1;Gleis 1;294;55
2471;B02;2;Gleis 2;293;55
2482;B01;1;Gleis 1;120;55
2482;B02;2;Gleis 2;120;55
2588;B01;1;Gleis 1;180;34
2588;B02;2;Gleis 2;182;34
2693;B01;1;Gleis 1;275;76
2693;B02;2;Gleis 2;275;76
2710;B01;1;Gleis 1;137,5;38
2710;B02;2;Gleis 2;205;38
3081;B01;1;Gleis 1;150;30
5632;B01;1;Gleis 1;200;24
4226;B01;1;Gleis 1;120;55
4226;B01;2;Gleis 2;120;55
2807;B01;1;Gleis 1;120;55
2807;B01;2;Gleis 2;120;55
2749;B01;1;Gleis 1;140;24
2826;B01;1;Gleis 1;170;55
2826;B02;2;Gleis 2;170;55
2965;B01;1;Gleis 1;240;34
2965;B02;2;Gleis 2;230;76
2965;B02;3;Gleis 3;233;76
3230;B01;1;Gleis 1;111;76
3230;B02;2;Gleis 2;111;76
3500;B01;1;Gleis 1;239;38
3500;B02;2;Gleis 2;206;38
3500;B02;3;Gleis 3;206;38
3500;B03;4;Gleis 4;210;38
3500;B03;5;Gleis 5;210;76
3524;B01;1;Gleis 1;210;76
3524;B02;2;Gleis 2;211;96
3524;B02;3;Gleis 3;211;96
3524;B03;4;Gleis 4;211;96
3780;B01;1;Gleis 1;165;38
3780;B02;2;Gleis 2;165;55
3782;B01;1;Gleis 1;165;20
3782;B02;2;Gleis 2;165;34
3786;B01;1;Gleis 1;120;55
3786;B02;2;Gleis 2;120;55
6995;B01;1;Gleis 1;120;55
4078;B01;1;Gleis 1;179;38
4078;B02;2;Gleis 2;179;18
4098;B01;1;Gleis 1;120;55
4098;B02;2;Gleis 2;120;55
4174;B01;1;Gleis 1;210;76
4174;B02;2;Gleis 2;210;76
4174;B02;3;Gleis 3;210;76
4477;B01;1;Gleis 1;120;55
4278;B01;1;Gleis 1;160;55
4308;B01;1;Gleis 1;145;55
4308;B02;2;Gleis 2;145;55
4513;B01;1;Gleis 1;106;20
4513;B02;3;Gleis 3;258;76
4513;B02;4;Gleis 4;258;76
4513;B03;5;Gleis 5;251;76
4513;B03;6;Gleis 6;251;76
4536;B01;1;Gleis 1;169,3;38
4536;B02;2;Gleis 2;167;38
4614;B01;1;Gleis 1;120;55
4614;B01;2;Gleis 2;120;55
4738;B01;1;Gleis 1;220;28
4738;B02;2;Gleis 2;220;24
3663;B01;1;Gleis 1;120;55
8264;B01;1;Gleis 1;125;55
5203;B01;1;Gleis 1;120;55
5203;B02;2;Gleis 2;120;55
5272;B01;1;Gleis 1;127;38
2161;B01;1;Gleis 1;218;55
2161;B02;2;Gleis 2;201;76
2161;B02;3;Gleis 3;201;76
2161;B03;4;Gleis 4;195;76
2161;B03;5;Gleis 5;210;76
3608;B01;1;Gleis 1;210;76
3608;B02;2;Gleis 2;210;76
4615;B01;1;Gleis 1;210;96
4615;B02;2;Gleis 2;210;96
4615;B03;3;Gleis 3;120;55
4615;B03;4;Gleis 4;120;55
6372;B01;1;Gleis 1;120;55
6372;B02;2;Gleis 2;120;55
5416;B01;1;Gleis 1;190;38
5416;B02;2;Gleis 2;190;24
5815;B01;1;Gleis 1;120;55
5815;B02;2;Gleis 2;120;55
6035;B01;1;Gleis 1;193;18
6035;B02;2;Gleis 2;190;38
6503;B01;12;Gleis 12;185;76
6503;B02;10;Gleis 10;223;76
6503;B02;11;Gleis 11;185;76
6647;B01;1;Gleis 1;177;14
6647;B02;2;Gleis 2;162;38
6744;B01;1;Gleis 1;369;76
6744;B02;2;Gleis 2;292;76
6744;B02;3;Gleis 3;292;76
6744;B04;4;Gleis 4;412;76
6744;B04;5;Gleis 5;412;76
6744;B06;6;Gleis 6;290;76
6744;B06;7;Gleis 7;290;76
6744;B08;8;Gleis 8;447;76
6744;B08;9;Gleis 9;447;76
6744;B10;10;Gleis 10;200;76
6746;B01;1;Gleis 1;212;38
6746;B02;2;Gleis 2;184;38
6747;B01;1;Gleis 1;145;20
6748;B01;1;Gleis 1;133;20
6748;B02;2;Gleis 2;110;26
6749;B01;1;Gleis 1;180;38
6749;B02;2;Gleis 2;165;55
6890;B01;1;Gleis 1;220;76
6890;B02;2;Gleis 2;220;76
6999;B01;1;Gleis 1;200;76
6999;B02;2;Gleis 2;200;76
7075;B01;1;Gleis 1;210;76
7075;B02;2;Gleis 2;210;76
284;B01;2;Gleis 2;252;76
284;B01;3;Gleis 3;252;76
284;B02;4;Gleis 4;252;76
284;B02;5;Gleis 5;252;76
346;B01;1;Gleis 1;219;76
346;B01;2;Gleis 2;219;76
358;B01;5;Gleis 5;261;76
358;B01;7;Gleis 7;280;76
358;B02;6;Gleis 6;166;38
358;B03;8;Gleis 8;280;76
358;B03;9;Gleis 9;280;76
359;B01;1;Gleis 1;211;76
359;B02;2;Gleis 2;212;76
899;B01;1;Gleis 1;211;76
899;B02;2;Gleis 2;214;76
1130;B01;1;Gleis 1;210;96
6843;B01;1;Gleis 1;210;96
7166;B01;1;Gleis 1;210;96
7213;B01;1;Gleis 1;210;96
7213;B01;2;Gleis 2;210;96
7216;B01;1;Gleis 1;210;96
7216;B01;2;Gleis 2;210;96
1285;B01;1;Gleis 1;210;76
1285;B02;2;Gleis 2;210;76
1459;B01;1;Gleis 1;232;76
1459;B02;2;Gleis 2;218;76
1471;B01;1;Gleis 1;210;96
1471;B01;2;Gleis 2;210;96
1616;B01;1;Gleis 1;210;76
1616;B02;2;Gleis 2;209;76
3341;B01;1;Gleis 1;210;76
3341;B02;2;Gleis 2;210;76
1668;B01;1;Gleis 1;215;96
1668;B01;2;Gleis 2;215;96
1671;B01;1;Gleis 1;210;76
1671;B01;2;Gleis 2;210;76
1672;B01;1;Gleis 1;210;96
1672;B02;2;Gleis 2;210;96
1818;B01;1;Gleis 1;221;76
1818;B02;2;Gleis 2;225;76
1818;B02;3;Gleis 3;225;76
7982;B01;4;Gleis 4;430;76
7982;B01;5;Gleis 5;430;76
7982;B02;6;Gleis 6;430;76
7982;B02;7;Gleis 7;430;76
7980;B01;1;Gleis 1;210;96
7980;B01;2;Gleis 2;210;96
1854;B01;1;Gleis 1;140;76
1854;B03;4;Gleis 4;215;76
1854;B03;5;Gleis 5;215;76
1854;B04;6;Gleis 6;210;96
1854;B04;7;Gleis 7;210;96
1854;B05;10;Gleis 10;193;34
1849;B01;1;Gleis 1;229;76
1849;B02;2;Gleis 2;406;76
1849;B02;3;Gleis 3;406;76
1863;B01;1;Gleis 1;212;96
1863;B01;2;Gleis 2;212;96
1864;SB1;2;Gleis 2;215;96
1864;SB1;3;Gleis 3;215;96
1866;B01;1;Gleis 1;435;76
1866;B01;1a;Gleis 1a;269;76
1866;B02;2;Gleis 2;433;76
1866;B02;3;Gleis 3;433;76
1866;B03;4;Gleis 4;316;76
1866;B03;5;Gleis 5;316;76
1866;B04;6;Gleis 6;434;76
1866;B04;7;Gleis 7;434;76
1866;B05;8;Gleis 8;434;76
1866;B05;9;Gleis 9;434;76
1866;B06;10;Gleis 10;348;76
1866;B06;11;Gleis 11;348;76
1866;B07;12;Gleis 12;330;76
1866;B07;13;Gleis 13;330;76
1866;B08;14;Gleis 14;313;76
1866;B08;15;Gleis 15;313;76
1866;B09;16;Gleis 16;348;76
1866;B09;17;Gleis 17;348;76
1866;B10;18;Gleis 18;434;76
1866;B10;19;Gleis 19;434;76
1866;B11;20;Gleis 20;317;76
1866;B11;21;Gleis 21;317;76
1866;B12;22;Gleis 22;316;76
1866;B12;23;Gleis 23;306;76
1866;B13;24;Gleis 24;227;55
1866;SB1;101;Gleis 101;219;96
1866;SB1;102;Gleis 102;219;96
1866;SB2;103;Gleis 103;218;96
1866;SB2;104;Gleis 104;218;96
1865;SB1;1;Gleis 1;212;96
1865;SB1;2;Gleis 2;212;96
1865;SB2;3;Gleis 3;212;96
1865;SB2;4;Gleis 4;212;96
1850;SB1;1;Gleis 1;210;96
1850;SB1;2;Gleis 2;210;96
1851;SB1;1;Gleis 1;216;96
1851;SB1;2;Gleis 2;216;96
1876;B01;1;Gleis 1;250;76
1876;B01;2;Gleis 2;250;76
1876;B02;3;Gleis 3;210;96
1876;B02;4;Gleis 4;210;96
1852;B02;3;Gleis 3;220;76
1852;B02;4;Gleis 4;220;76
1853;SB1;1;Gleis 1;247;96
1853;SB1;2;Gleis 2;247;96
1855;B01;1;Gleis 1;210;96
1855;B01;2;Gleis 2;210;96
1856;B01;1;Gleis 1;240;96
1856;B01;2;Gleis 2;240;96
1856;B02;3;Gleis 3;240;96
1856;B02;4;Gleis 4;240;96
1856;B03;5;Gleis 5;410;76
1856;B03;6;Gleis 6;410;76
1856;B04;7;Gleis 7;410;76
1856;B04;8;Gleis 8;410;76
1856;B05;9;Gleis 9;324;38
1857;SB1;1;Gleis 1;213;96
1857;SB1;2;Gleis 2;213;96
1858;B01;1;Gleis 1;225;96
1858;B01;2;Gleis 2;225;96
1858;B02;3;Gleis 3;210;96
1858;B03;4;Gleis 4;350;76
1858;B03;5;Gleis 5;350;76
1867;B01;1;Gleis 1;210;76
1867;B02;2;Gleis 2;210;76
1868;B01;1;Gleis 1;210;76
1868;B02;2;Gleis 2;210;76
1869;B01;1;Gleis 1;233;76
1869;B02;2;Gleis 2;221;76
1869;B02;3;Gleis 3;221;76
1871;B01;1;Gleis 1;244;76
1871;B02;2;Gleis 2;238;76
1871;B02;3;Gleis 3;238;76
1872;B01;1;Gleis 1;210;76
1872;B01;2;Gleis 2;210;76
1872;B02;3;Gleis 3;210;76
1872;B02;4;Gleis 4;210;76
1872;B03;5;Gleis 5;230;76
1872;B03;6;Gleis 6;230;76
1872;B05;10;Gleis 10;210;76
1872;B05;11;Gleis 11;210;76
1872;B06;12;Gleis 12;187;76
1872;B06;13;Gleis 13;187;76
1763;B01;1;Gleis 1;234;76
1763;B01;2;Gleis 2;234;76
1873;B01;1;Gleis 1;212;96
1873;B01;2;Gleis 2;212;96
1874;B01;1;Gleis 1;229;34
1874;B01;2;Gleis 2;229;34
1874;B02;3;Gleis 3;229;38
1875;B01;1;Gleis 1;225;76
1875;B02;2;Gleis 2;238;76
1877;B01;1;Gleis 1;215;96
1877;B02;2;Gleis 2;215;96
1877;B02;3;Gleis 3;215;96
1878;B01;1;Gleis 1;242;76
1878;B02;2;Gleis 2;223;76
1879;B01;1;Gleis 1;210;76
8058;B01;1;Gleis 1;210;76
8058;B02;2;Gleis 2;210;76
1942;B01;1;Gleis 1;110;76
1942;B01;2;Gleis 2;223;76
1942;B02;4;Gleis 4;210;76
1942;B02;5;Gleis 5;210;76
2303;B01;1;Gleis 1;221;76
2303;B02;2;Gleis 2;211;76
2303;B02;3;Gleis 3;211;76
2324;B01;1;Gleis 1;235;34
2324;B02;2;Gleis 2;263;34
2352;B01;1;Gleis 1;266;55
2352;B02;2;Gleis 2;244;55
2537;B01;1;Gleis 1;212;96
2537;B01;2;Gleis 2;212;96
2537;B02;5;Gleis 5;406;76
2537;B02;6;Gleis 6;406;76
2537;B03;7;Gleis 7;408;76
2537;B03;9;Gleis 9;170;76
2537;B04;102;Gleis 102;403;76
2537;B04;103;Gleis 103;403;76
2537;B05;104;Gleis 104;360;38
2537;B05;106;Gleis 106;360;38
2537;B06;101;Gleis 101;236;38
3226;B01;1;Gleis 1;199;38
2538;B01;1;Gleis 1;220;38
2538;B02;2;Gleis 2;220;38
2538;B02;3;Gleis 3;220;38
2539;B01;1;Gleis 1;320;76
2539;B01;2;Gleis 2;320;76
2540;B01;1;Gleis 1;170;76
2540;B02;2;Gleis 2;170;76
2589;B01;1;Gleis 1;232;76
2589;B02;2;Gleis 2;232;76
2589;B02;3;Gleis 3;232;76
7167;B01;1;Gleis 1;210;96
7167;B02;2;Gleis 2;210;96
2802;B01;1;Gleis 1;258;76
2802;B02;2;Gleis 2;248;76
2802;B02;3;Gleis 3;248;76
2827;B01;1;Gleis 1;210;76
2827;B02;2;Gleis 2;285;76
2827;B02;3;Gleis 3;285;76
3152;B01;3;Gleis 3;210;76
3152;B01;4;Gleis 4;220;76
3423;B01;1;Gleis 1;247;76
3423;B02;2;Gleis 2;247;76
3428;B01;1;Gleis 1;233,4;76
3428;B02;2;Gleis 2;223;76
7986;B01;1;Gleis 1;210;96
8023;B01;1;Gleis 1;210;96
8023;B01;2;Gleis 2;210;96
3785;B01;2;Gleis 2;298;76
3785;B01;3;Gleis 3;298;76
2809;B01;1;Gleis 1;241;38
2809;B02;2;Gleis 2;281;38
2809;B02;3;Gleis 3;281;38
669;B01;1;Gleis 1;170;38
669;B02;2;Gleis 2;176;38
3901;B01;1;Gleis 1;311;76
3901;B01;2;Gleis 2;245;76
3901;B02;3;Gleis 3;242;76
3901;B02;4;Gleis 4;242;76
3903;B01;1;Gleis 1;222;76
3903;B02;2;Gleis 2;214;76
3903;B02;3;Gleis 3;214;76
3904;B01;1;Gleis 1;216;76
3904;B02;2;Gleis 2;263;76
3904;B02;3;Gleis 3;263;76
4210;B01;1;Gleis 1;211;96
4210;B01;2;Gleis 2;211;96
7168;B01;1;Gleis 1;212;96
7168;B01;2;Gleis 2;212;96
4351;B01;1;Gleis 1;252;30
4351;B02;2;Gleis 2;210;96
4351;B02;3;Gleis 3;210;96
4479;B01;1;Gleis 1;210;76
4479;B02;2;Gleis 2;211;76
4479;B02;3;Gleis 3;211;76
4500;B01;1;Gleis 1;210;76
4500;B01;2;Gleis 2;210;76
4502;B01;1;Gleis 1;265;76
4502;B02;2;Gleis 2;234;76
4700;B01;1;Gleis 1;210;96
4700;B01;2;Gleis 2;210;96
4702;B01;2;Gleis 2;215;96
4702;B01;3;Gleis 3;215;76
7969;B01;1;Gleis 1;210;96
7969;B02;2;Gleis 2;210;96
6641;B01;1;Gleis 1;210;76
6641;B02;2;Gleis 2;210;76
7170;SB1;1;Gleis 1;210;96
7170;SB1;2;Gleis 2;210;96
4742;B01;1;Gleis 1;355;55
4742;B01;2;Gleis 2;409;55
4742;B02;3;Gleis 3;405;76
4742;B02;4;Gleis 4;351;76
4742;B03;5;Gleis 5;170;76
4743;B01;1;Gleis 1;211;96
4743;B02;2;Gleis 2;211;96
4743;B02;3;Gleis 3;211;96
7171;SB1;1;Gleis 1;210;96
7171;SB1;2;Gleis 2;210;96
4744;B01;1;Gleis 1;210;96
4744;B02;2;Gleis 2;210;96
7169;SB1;1;Gleis 1;210;96
7169;SB1;2;Gleis 2;210;96
4831;B01;1;Gleis 1;210;96
4831;B02;2;Gleis 2;210;96
4755;B01;1;Gleis 1;210;76
4755;B02;2;Gleis 2;210;76
5147;B01;1;Gleis 1;211,5;76
5147;B02;2;Gleis 2;211,5;76
5147;B02;3;Gleis 3;211,5;76
1372;B01;1;Gleis 1;210;96
1372;B02;2;Gleis 2;210;96
2479;B01;1;Gleis 1;210;96
2479;B02;2;Gleis 2;210;96
3066;B01;1;Gleis 1;210;96
3066;B02;2;Gleis 2;210;96
4478;B01;1;Gleis 1;210;96
4478;B02;2;Gleis 2;210;96
5330;B01;1;Gleis 1;210;96
5330;B01;2;Gleis 2;210;96
6628;B01;1;Gleis 1;210;96
6628;B01;2;Gleis 2;210;96
5440;B01;1;Gleis 1;212;76
5440;B02;2;Gleis 2;222;76
5440;B02;3;Gleis 3;222;76
5441;B01;25;Gleis 25;257;76
5441;B01;27;Gleis 27;257;76
5441;B02;23;Gleis 23;285;76
5441;B02;24;Gleis 24;285;76
5708;B01;1;Gleis 1;210;96
8197;B01;1;Gleis 1;210;96
5832;B01;1;Gleis 1;210;76
5832;B02;2;Gleis 2;210;76
5998;B01;1;Gleis 1;210;96
6114;B01;1;Gleis 1;210;76
6115;B01;1;Gleis 1;210;76
6745;B01;1;Gleis 1;244;76
6745;B01;2;Gleis 2;244;76
6745;B02;3;Gleis 3;242;76
6745;B02;4;Gleis 4;242;76
6856;B01;1;Gleis 1;218;76
6856;B01;2;Gleis 2;218;76
6856;B02;3;Gleis 3;218;76
6856;B02;4;Gleis 4;218;76
46;B01;1;Gleis 1;192;34
46;B02;2;Gleis 2;157;34
59;B01;1;Gleis 1;53;26
109;B01;1;Gleis 1;160;76
109;B02;2;Gleis 2;150;76
2806;B01;1;Gleis 1;150;76
3735;B01;1;Gleis 1;150;76
164;B01;1;Gleis 1;179;26
164;B02;2;Gleis 2;185;26
173;B01;1;Gleis 1;140;38
173;B02;2;Gleis 2;141;38
199;B01;1;Gleis 1;205;34
199;B02;2;Gleis 2;202;34
198;B01;1;Gleis 1;161;34
198;B02;2;Gleis 2;151;38
228;B01;1;Gleis 1;145;38
228;B02;2;Gleis 2;110;20
261;B01;1;Gleis 1;234;38
261;B02;2;Gleis 2;220;76
310;B01;1;Gleis 1;283;76
310;B02;2;Gleis 2;284;76
310;B02;3;Gleis 3;284;76
329;B01;1;Gleis 1;145;55
464;B01;1;Gleis 1;123;18
464;B02;2;Gleis 2;153;18
464;B03;3;Gleis 3;136;18
701;B01;1;Gleis 1;118;32
796;B01;1;Gleis 1;147;34
937;B01;1;Gleis 1;122;22
957;B02;2;Gleis 2;111;38
957;B03;3;Gleis 3;120;38
975;B01;1;Gleis 1;140;38
975;B02;2;Gleis 2;140;38
983;B01;2;Gleis 2;220;30
983;B02;1;Gleis 1;174;28
987;B01;1;Gleis 1;95;55
1013;B01;1;Gleis 1;345;76
1013;B02;2;Gleis 2;408;38
1013;B02;3;Gleis 3;408;38
1063;B01;1;Gleis 1;122;55
1063;B01;2;Gleis 2;123;55
1063;B02;3;Gleis 3;218;55
1063;B02;4;Gleis 4;216;38
1213;B01;1;Gleis 1;162;34
1213;B01;2;Gleis 2;162;34
1214;B01;1;Gleis 1;283,5;30
1214;B02;2;Gleis 2;270;55
1214;B02;3;Gleis 3;270;55
1214;B03;4;Gleis 4;248;38
1214;B03;5;Gleis 5;248;38
1273;B01;1;Gleis 1;145;55
1424;B01;1;Gleis 1;181;34
1424;B01;3;Gleis 3;200;34
1452;B01;1;Gleis 1;162;55
1452;B01;2;Gleis 2;162;55
1464;B01;1;Gleis 1;147;26
1464;B02;2;Gleis 2;150;26
1468;B01;1;Gleis 1;101;26
1492;B01;1;Gleis 1;197;26
1492;B02;2;Gleis 2;240;55
1574;B01;1;Gleis 1;111;38
1575;B02;1;Gleis 1;111;38
1678;B01;1;Gleis 1;232;76
1678;B02;2;Gleis 2;236;76
1678;B02;3;Gleis 3;236;76
1926;B01;1;Gleis 1;166;38
1930;B01;1;Gleis 1;299;76
1930;B01;1a;Gleis 1a;129;76
1930;B02;2;Gleis 2;354;76
1930;B02;4;Gleis 4;354;76
1930;B03;5;Gleis 5;276;76
1930;B03;7;Gleis 7;276;76
1930;B04;8;Gleis 8;204;55
1930;B04;10;Gleis 10;204;55
1930;B05;11;Gleis 11;184;55
1930;B05;12;Gleis 12;184;55
1870;B01;1;Gleis 1;120;55
1931;B01;1;Gleis 1;195;34
1931;B02;2;Gleis 2;207;34
1970;B01;1;Gleis 1;184;38
1970;B02;2;Gleis 2;184;38
1974;B01;1;Gleis 1;140;38
1974;B02;2;Gleis 2;130;34
2009;B01;1;Gleis 1;117;34
2111;B01;1;Gleis 1;145;55
2120;B01;1;Gleis 1;425;55
2120;B02;2;Gleis 2;303;76
2120;B02;3;Gleis 3;300;76
2120;B03;4;Gleis 4;295;55
2120;B03;5;Gleis 5;294;55
2120;B04;11;Gleis 11;182;55
2120;B05;12;Gleis 12;175;55
2120;B05;13;Gleis 13;172;55
2120;B06;14;Gleis 14;175;55
2120;B06;15;Gleis 15;172;55
2120;B07;9;Gleis 9;105;55
1627;B01;1;Gleis 1;207;34
2121;B01;1;Gleis 1;134;38
7968;B01;1;Gleis 1;190;76
7968;B02;2;Gleis 2;190;76
2140;B01;1;Gleis 1;200;55
6033;B01;1;Gleis 1;150;76
6033;B02;2;Gleis 2;222;24
6033;B02;3;Gleis 3;222;38
2158;B01;1;Gleis 1;128;38
2249;B01;1;Gleis 1;116;20
2249;B02;2;Gleis 2;117;20
2336;B01;1;Gleis 1;182;34
2336;B02;2;Gleis 2;151;34
2337;B01;2;Gleis 2;257;38
2337;B02;3;Gleis 3;310;38
2389;B01;1;Gleis 1;128;34
2389;B02;2;Gleis 2;158;34
2448;B01;1;Gleis 1;107;34
2448;B02;2;Gleis 2;142;34
2475;B01;101;Gleis 101;62;34
2475;B02;2;Gleis 2;254;34
2475;B02;3;Gleis 3;254;34
2476;B01;1;Gleis 1;60;34
2607;B01;1;Gleis 1;145;55
2701;B01;1;Gleis 1;334;38
2701;B02;2;Gleis 2;265;38
2701;B02;3;Gleis 3;265;38
2950;B02;2;Gleis 2;171;34
2950;B02;4;Gleis 4;168;34
3136;B01;1;Gleis 1;196;20
3136;B02;2;Gleis 2;188;34
3161;B01;1;Gleis 1;192;34
3161;B01;2;Gleis 2;191;34
3180;B01;1;Gleis 1;230;34
3180;B02;2;Gleis 2;204;34
3191;B01;1;Gleis 1;303;38
3191;B01;2;Gleis 2;251;38
3191;B02;5;Gleis 5;190;38
3519;B01;1;Gleis 1;245;34
3519;B03;3;Gleis 3;253;34
3563;B01;1;Gleis 1;140;34
3616;B01;1;Gleis 1;135,6;34
831;B01;1;Gleis 1;130;34
831;B02;2;Gleis 2;141;55
3696;B01;1;Gleis 1;190;34
3696;B02;2;Gleis 2;219;34
3720;B01;1;Gleis 1;238;34
3720;B01;8;Gleis 8;147;34
3720;B02;2;Gleis 2;165;55
3720;B02;3;Gleis 3;241;55
3720;B03;4;Gleis 4;230;76
3720;B03;5;Gleis 5;230;76
3723;B01;1;Gleis 1;406;76
3723;B02;4;Gleis 4;407;76
3733;B01;1;Gleis 1;301;34
3733;B02;2;Gleis 2;235;34
3766;B01;1;Gleis 1;117;38
3766;B02;2;Gleis 2;159,5;16
3776;B01;1;Gleis 1;214;34
3776;B02;2;Gleis 2;180;34
3776;B03;11;Gleis 11;166;34
3943;B01;1;Gleis 1;210;55
3943;B01;1a;Gleis 1a;154;55
3943;B02;2;Gleis 2;210;55
3943;B02;4;Gleis 4;280;55
3943;B03;5;Gleis 5;280;55
3943;B03;8;Gleis 8;280;55
3944;B01;2;Gleis 2;211;38
3944;B02;1;Gleis 1;324;38
4040;B01;1;Gleis 1;85;30
4448;B02;2;Gleis 2;213;38
4448;B02;3;Gleis 3;215;38
4471;B02;2;Gleis 2;150;55
4471;B02;4;Gleis 4;150;55
4471;B03;5;Gleis 5;150;55
4471;B03;7;Gleis 7;150;55
4485;B01;1;Gleis 1;225;76
4485;B02;2;Gleis 2;221;76
4485;B02;3;Gleis 3;221;76
4497;B01;1;Gleis 1;91;38
4520;B01;1;Gleis 1;183;34
4520;B01;2;Gleis 2;183;34
4527;B01;1;Gleis 1;224;76
4527;B02;2;Gleis 2;220;76
4535;B01;1;Gleis 1;242;38
4535;B02;2;Gleis 2;216;38
4538;B01;1;Gleis 1;179;38
4538;B02;2;Gleis 2;178;38
4543;B01;1;Gleis 1;91;55
4543;B02;2;Gleis 2;91;38
4616;B01;2;Gleis 2;87;18
4616;B02;3;Gleis 3;131;18
4627;B01;1;Gleis 1;211;34
4627;B02;2;Gleis 2;211;76
4806;B01;1;Gleis 1;242;34
4806;B02;2;Gleis 2;243;34
5121;B01;1;Gleis 1;149,5;38
5183;B01;1;Gleis 1;160;55
5183;B01;2;Gleis 2;160;55
5209;B01;1;Gleis 1;177;34
5209;B02;2;Gleis 2;140;55
5304;B01;1;Gleis 1;192;34
5304;B02;2;Gleis 2;197;34
5311;B01;1;Gleis 1;90;55
5342;B01;2;Gleis 2;90;55
5342;B02;3;Gleis 3;90;55
